Topic,Paper ID,Title,Authors,First Author,URL,Citations,Published
"Neural Compression","2206.07697","MACE: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields","Ilyes Batatia, Dávid Péter Kovács, Gregor N. C. Simm, Christoph Ortner, Gábor Csányi","Ilyes Batatia","http://arxiv.org/abs/2206.07697",842,"2022-06-15"
"Neural Compression","2006.05467","Pruning neural networks without any data by iteratively conserving synaptic flow","Hidenori Tanaka, Daniel Kunin, Daniel L. K. Yamins, Surya Ganguli","Hidenori Tanaka","http://arxiv.org/abs/2006.05467",785,"2020-06-09"
"Neural Compression","2009.04544","Self-Adaptive Physics-Informed Neural Networks using a Soft Attention Mechanism","Levi McClenny, Ulisses Braga-Neto","Levi McClenny","http://arxiv.org/abs/2009.04544",621,"2020-09-07"
"Neural Compression","2106.07998","Revisiting the Calibration of Modern Neural Networks","Matthias Minderer, Josip Djolonga, Rob Romijnders, Frances Hubis, Xiaohua Zhai, Neil Houlsby, Dustin Tran, Mario Lucic","Matthias Minderer","http://arxiv.org/abs/2106.07998",474,"2021-06-15"
"Neural Compression","2202.03376","Message Passing Neural PDE Solvers","Johannes Brandstetter, Daniel Worrall, Max Welling","Johannes Brandstetter","http://arxiv.org/abs/2202.03376",394,"2022-02-07"
"Neural Compression","2011.10379","Neural Scene Graphs for Dynamic Scenes","Julian Ost, Fahim Mannan, Nils Thuerey, Julian Knodt, Felix Heide","Julian Ost","http://arxiv.org/abs/2011.10379",378,"2020-11-20"
"Neural Compression","2103.02597","Neural 3D Video Synthesis from Multi-view Video","Tianye Li, Mira Slavcheva, Michael Zollhoefer, Simon Green, Christoph Lassner, Changil Kim, Tanner Schmidt, Steven Lovegrove, Michael Goesele, Richard Newcombe, Zhaoyang Lv","Tianye Li","http://arxiv.org/abs/2103.02597",359,"2021-03-03"
"Neural Compression","2103.03123","COIN: COmpression with Implicit Neural representations","Emilien Dupont, Adam Goliński, Milad Alizadeh, Yee Whye Teh, Arnaud Doucet","Emilien Dupont","http://arxiv.org/abs/2103.03123",293,"2021-03-03"
"Neural Compression","2302.14402","Neural Video Compression with Diverse Contexts","Jiahao Li, Bin Li, Yan Lu","Jiahao Li","http://arxiv.org/abs/2302.14402",258,"2023-02-28"
"Neural Compression","2110.14373","Neural-PIL: Neural Pre-Integrated Lighting for Reflectance Decomposition","Mark Boss, Varun Jampani, Raphael Braun, Ce Liu, Jonathan T. Barron, Hendrik P. A. Lensch","Mark Boss","http://arxiv.org/abs/2110.14373",249,"2021-10-27"
"Neural Compression","2207.05894","Hybrid Spatial-Temporal Entropy Modelling for Neural Video Compression","Jiahao Li, Bin Li, Yan Lu","Jiahao Li","http://arxiv.org/abs/2207.05894",228,"2022-07-13"
"Neural Compression","2003.04547","3D Quasi-Recurrent Neural Network for Hyperspectral Image Denoising","Kaixuan Wei, Ying Fu, Hua Huang","Kaixuan Wei","http://arxiv.org/abs/2003.04547",212,"2020-03-10"
"Neural Compression","2112.04267","Implicit Neural Representations for Image Compression","Yannick Strümpler, Janis Postels, Ren Yang, Luc van Gool, Federico Tombari","Yannick Strümpler","http://arxiv.org/abs/2112.04267",202,"2021-12-08"
