Topic,Paper ID,Title,Authors,First Author,URL,Citations,Published
"Neural Compression","2206.03865","Fault-Aware Neural Code Rankers","Jeevana Priya Inala, Chenglong Wang, Mei Yang, Andres Codas, Mark Encarnación, Shuvendu K Lahiri, Madanlal Musuvathi, Jianfeng Gao","Jeevana Priya Inala","http://arxiv.org/abs/2206.03865",54,"2022-06-04"
"Neural Compression","2210.08772","Signal Processing for Implicit Neural Representations","Dejia Xu, Peihao Wang, Yifan Jiang, Zhiwen Fan, Zhangyang Wang","Dejia Xu","http://arxiv.org/abs/2210.08772",53,"2022-10-17"
"Neural Compression","2105.06002","Lightweight compression of neural network feature tensors for collaborative intelligence","Robert A. Cohen, Hyomin Choi, Ivan V. Bajić","Robert A. Cohen","http://arxiv.org/abs/2105.06002",53,"2021-05-12"
"Neural Compression","2304.13445","Neural-PBIR Reconstruction of Shape, Material, and Illumination","Cheng Sun, Guangyan Cai, Zhengqin Li, Kai Yan, Cheng Zhang, Carl Marshall, Jia-Bin Huang, Shuang Zhao, Zhao Dong","Cheng Sun","http://arxiv.org/abs/2304.13445",53,"2023-04-26"
"Neural Compression","2006.15938","Hybrid Tensor Decomposition in Neural Network Compression","Bijiao Wu, Dingheng Wang, Guangshe Zhao, Lei Deng, Guoqi Li","Bijiao Wu","http://arxiv.org/abs/2006.15938",52,"2020-06-29"
"Neural Compression","2112.06643","On the Dynamics of Hopfield Neural Networks on Unit Quaternions","Marcos Eduardo Valle, Fidelis Zanetti de Castro","Marcos Eduardo Valle","http://arxiv.org/abs/2112.06643",51,"2021-12-13"
"Neural Compression","2003.09696","PyCARL: A PyNN Interface for Hardware-Software Co-Simulation of Spiking Neural Network","Adarsha Balaji, Prathyusha Adiraju, Hirak J. Kashyap, Anup Das, Jeffrey L. Krichmar, Nikil D. Dutt, Francky Catthoor","Adarsha Balaji","http://arxiv.org/abs/2003.09696",51,"2020-03-21"
"Neural Compression","2106.03795","Heavy Tails in SGD and Compressibility of Overparametrized Neural Networks","Melih Barsbey, Milad Sefidgaran, Murat A. Erdogdu, Gaël Richard, Umut Şimşekli","Melih Barsbey","http://arxiv.org/abs/2106.03795",51,"2021-06-07"
"Neural Compression","2102.09270","On the advantages of stochastic encoders","Lucas Theis, Eirikur Agustsson","Lucas Theis","http://arxiv.org/abs/2102.09270",51,"2021-02-18"
"Neural Compression","2104.07930","Conditional Coding for Flexible Learned Video Compression","Théo Ladune, Pierrick Philippe, Wassim Hamidouche, Lu Zhang, Olivier Déforges","Théo Ladune","http://arxiv.org/abs/2104.07930",50,"2021-04-16"
"Neural Compression","2010.10090","Knowledge Distillation in Wide Neural Networks: Risk Bound, Data Efficiency and Imperfect Teacher","Guangda Ji, Zhanxing Zhu","Guangda Ji","http://arxiv.org/abs/2010.10090",50,"2020-10-20"
"Neural Compression","2008.02956","Bootstrapping Neural Processes","Juho Lee, Yoonho Lee, Jungtaek Kim, Eunho Yang, Sung Ju Hwang, Yee Whye Teh","Juho Lee","http://arxiv.org/abs/2008.02956",50,"2020-08-07"
"Video Codec","2109.15047","Deep Contextual Video Compression","Jiahao Li, Bin Li, Yan Lu","Jiahao Li","http://arxiv.org/abs/2109.15047",404,"2021-09-30"
"Video Codec","2110.13903","NeRV: Neural Representations for Videos","Hao Chen, Bo He, Hanyu Wang, Yixuan Ren, Ser-Nam Lim, Abhinav Shrivastava","Hao Chen","http://arxiv.org/abs/2110.13903",349,"2021-10-26"
"Video Codec","2204.07790","Wireless Semantic Communications for Video Conferencing","Peiwen Jiang, Chao-Kai Wen, Shi Jin, Geoffrey Ye Li","Peiwen Jiang","http://arxiv.org/abs/2204.07790",244,"2022-04-16"
"Video Codec","2312.17432","Video Understanding with Large Language Models: A Survey","Yolo Y. Tang, Jing Bi, Siting Xu, Luchuan Song, Susan Liang, Teng Wang, Daoan Zhang, Jie An, Jingyang Lin, Rongyi Zhu, Ali Vosoughi, Chao Huang, Zeliang Zhang, Pinxin Liu, Mingqian Feng, Feng Zheng, Jianguo Zhang, Ping Luo, Jiebo Luo, Chenliang Xu","Yolo Y. Tang","http://arxiv.org/abs/2312.17432",198,"2023-12-29"
"Video Codec","2111.13034","DeepWiVe: Deep-Learning-Aided Wireless Video Transmission","Tze-Yang Tung, Deniz Gündüz","Tze-Yang Tung","http://arxiv.org/abs/2111.13034",185,"2021-11-25"
"Video Codec","2003.13552","BVI-DVC: A Training Database for Deep Video Compression","Di Ma, Fan Zhang, David R. Bull","Di Ma","http://arxiv.org/abs/2003.13552",185,"2020-03-30"
"Video Codec","2003.11282","Content Adaptive and Error Propagation Aware Deep Video Compression","Guo Lu, Chunlei Cai, Xiaoyun Zhang, Li Chen, Wanli Ouyang, Dong Xu, Zhiyong Gao","Guo Lu","http://arxiv.org/abs/2003.11282",166,"2020-03-25"
"Video Codec","2402.03413","Perceptual Video Quality Assessment: A Survey","Xiongkuo Min, Huiyu Duan, Wei Sun, Yucheng Zhu, Guangtao Zhai","Xiongkuo Min","http://arxiv.org/abs/2402.03413",163,"2024-02-05"
"Video Codec","2402.17414","Neural Video Compression with Feature Modulation","Jiahao Li, Bin Li, Yan Lu","Jiahao Li","http://arxiv.org/abs/2402.17414",153,"2024-02-27"
"Video Codec","2408.16532","WavTokenizer: an Efficient Acoustic Discrete Codec Tokenizer for Audio Language Modeling","Shengpeng Ji, Ziyue Jiang, Wen Wang, Yifu Chen, Minghui Fang, Jialong Zuo, Qian Yang, Xize Cheng, Zehan Wang, Ruiqi Li, Ziang Zhang, Xiaoda Yang, Rongjie Huang, Yidi Jiang, Qian Chen, Siqi Zheng, Zhou Zhao","Shengpeng Ji","http://arxiv.org/abs/2408.16532",138,"2024-08-29"
"Video Codec","2206.07307","VCT: A Video Compression Transformer","Fabian Mentzer, George Toderici, David Minnen, Sung-Jin Hwang, Sergi Caelles, Mario Lucic, Eirikur Agustsson","Fabian Mentzer","http://arxiv.org/abs/2206.07307",133,"2022-06-15"
"Video Codec","2104.14335","ELF-VC: Efficient Learned Flexible-Rate Video Coding","Oren Rippel, Alexander G. Anderson, Kedar Tatwawadi, Sanjay Nair, Craig Lytle, Lubomir Bourdev","Oren Rippel","http://arxiv.org/abs/2104.14335",132,"2021-04-29"
"Video Codec","2304.05112","Video Event Restoration Based on Keyframes for Video Anomaly Detection","Zhiwei Yang, Jing Liu, Zhaoyang Wu, Peng Wu, Xiaotao Liu","Zhiwei Yang","http://arxiv.org/abs/2304.05112",108,"2023-04-11"
"Video Codec","2101.04822","Plug-and-Play Algorithms for Video Snapshot Compressive Imaging","Xin Yuan, Yang Liu, Jinli Suo, Frédo Durand, Qionghai Dai","Xin Yuan","http://arxiv.org/abs/2101.04822",99,"2021-01-13"
"Video Codec","2207.05315","CANF-VC: Conditional Augmented Normalizing Flows for Video Compression","Yung-Han Ho, Chih-Peng Chang, Peng-Yu Chen, Alessandro Gnutti, Wen-Hsiao Peng","Yung-Han Ho","http://arxiv.org/abs/2207.05315",88,"2022-07-12"
"Video Codec","2008.09180","Conditional Entropy Coding for Efficient Video Compression","Jerry Liu, Shenlong Wang, Wei-Chiu Ma, Meet Shah, Rui Hu, Pranaab Dhawan, Raquel Urtasun","Jerry Liu","http://arxiv.org/abs/2008.09180",78,"2020-08-20"
"Video Codec","2104.14868","On the Computation of PSNR for a Set of Images or Video","Onur Keleş, M. Akın Yılmaz, A. Murat Tekalp, Cansu Korkmaz, Zafer Dogan","Onur Keleş","http://arxiv.org/abs/2104.14868",72,"2021-04-30"
"Video Codec","2212.05458","COOL-CHIC: Coordinate-based Low Complexity Hierarchical Image Codec","Théo Ladune, Pierrick Philippe, Félix Henry, Gordon Clare, Thomas Leguay","Théo Ladune","http://arxiv.org/abs/2212.05458",70,"2022-12-11"
"Video Codec","2104.02322","Efficient Video Compression via Content-Adaptive Super-Resolution","Mehrdad Khani, Vibhaalakshmi Sivaraman, Mohammad Alizadeh","Mehrdad Khani","http://arxiv.org/abs/2104.02322",63,"2021-04-06"
"Video Codec","2112.09529","End-to-End Rate-Distortion Optimized Learned Hierarchical Bi-Directional Video Compression","M. Akın Yılmaz, A. Murat Tekalp","M. Akın Yılmaz","http://arxiv.org/abs/2112.09529",63,"2021-12-17"
"Video Codec","2007.02375","Auto-captions on GIF: A Large-scale Video-sentence Dataset for Vision-language Pre-training","Yingwei Pan, Yehao Li, Jianjie Luo, Jun Xu, Ting Yao, Tao Mei","Yingwei Pan","http://arxiv.org/abs/2007.02375",61,"2020-07-05"
"Video Codec","2405.20279","CV-VAE: A Compatible Video VAE for Latent Generative Video Models","Sijie Zhao, Yong Zhang, Xiaodong Cun, Shaoshu Yang, Muyao Niu, Xiaoyu Li, Wenbo Hu, Ying Shan","Sijie Zhao","http://arxiv.org/abs/2405.20279",55,"2024-05-30"
"Video Codec","2104.00531","Extending Neural P-frame Codecs for B-frame Coding","Reza Pourreza, Taco S Cohen","Reza Pourreza","http://arxiv.org/abs/2104.00531",52,"2021-03-30"
"Video Quality","2210.02303","Imagen Video: High Definition Video Generation with Diffusion Models","Jonathan Ho, William Chan, Chitwan Saharia, Jay Whang, Ruiqi Gao, Alexey Gritsenko, Diederik P. Kingma, Ben Poole, Mohammad Norouzi, David J. Fleet, Tim Salimans","Jonathan Ho","http://arxiv.org/abs/2210.02303",1924,"2022-10-05"
"Video Quality","2306.02858","Video-LLaMA: An Instruction-tuned Audio-Visual Language Model for Video Understanding","Hang Zhang, Xin Li, Lidong Bing","Hang Zhang","http://arxiv.org/abs/2306.02858",1588,"2023-06-05"
"Video Quality","2405.21075","Video-MME: The First-Ever Comprehensive Evaluation Benchmark of Multi-modal LLMs in Video Analysis","Chaoyou Fu, Yuhan Dai, Yongdong Luo, Lei Li, Shuhuai Ren, Renrui Zhang, Zihan Wang, Chenyu Zhou, Yunhang Shen, Mengdan Zhang, Peixian Chen, Yanwei Li, Shaohui Lin, Sirui Zhao, Ke Li, Tong Xu, Xiawu Zheng, Enhong Chen, Caifeng Shan, Ran He, Xing Sun","Chaoyou Fu","http://arxiv.org/abs/2405.21075",966,"2024-05-31"
"Video Quality","2308.06571","ModelScope Text-to-Video Technical Report","Jiuniu Wang, Hangjie Yuan, Dayou Chen, Yingya Zhang, Xiang Wang, Shiwei Zhang","Jiuniu Wang","http://arxiv.org/abs/2308.06571",644,"2023-08-12"
"Video Quality","2401.09047","VideoCrafter2: Overcoming Data Limitations for High-Quality Video Diffusion Models","Haoxin Chen, Yong Zhang, Xiaodong Cun, Menghan Xia, Xintao Wang, Chao Weng, Ying Shan","Haoxin Chen","http://arxiv.org/abs/2401.09047",535,"2024-01-17"
"Video Quality","2310.19512","VideoCrafter1: Open Diffusion Models for High-Quality Video Generation","Haoxin Chen, Menghan Xia, Yingqing He, Yong Zhang, Xiaodong Cun, Shaoshu Yang, Jinbo Xing, Yaofang Liu, Qifeng Chen, Xintao Wang, Chao Weng, Ying Shan","Haoxin Chen","http://arxiv.org/abs/2310.19512",505,"2023-10-30"
"Video Quality","2303.08320","VideoFusion: Decomposed Diffusion Models for High-Quality Video Generation","Zhengxiong Luo, Dayou Chen, Yingya Zhang, Yan Huang, Liang Wang, Yujun Shen, Deli Zhao, Jingren Zhou, Tieniu Tan","Zhengxiong Luo","http://arxiv.org/abs/2303.08320",401,"2023-03-15"
"Video Quality","2004.15021","Consistent Video Depth Estimation","Xuan Luo, Jia-Bin Huang, Richard Szeliski, Kevin Matzen, Johannes Kopf","Xuan Luo","http://arxiv.org/abs/2004.15021",396,"2020-04-30"
"Video Quality","2201.12288","VRT: A Video Restoration Transformer","Jingyun Liang, Jiezhang Cao, Yuchen Fan, Kai Zhang, Rakesh Ranjan, Yawei Li, Radu Timofte, Luc Van Gool","Jingyun Liang","http://arxiv.org/abs/2201.12288",359,"2022-01-28"
"Video Quality","2112.14683","StyleGAN-V: A Continuous Video Generator with the Price, Image Quality and Perks of StyleGAN2","Ivan Skorokhodov, Sergey Tulyakov, Mohamed Elhoseiny","Ivan Skorokhodov","http://arxiv.org/abs/2112.14683",358,"2021-12-29"
"Video Quality","2211.04894","Exploring Video Quality Assessment on User Generated Contents from Aesthetic and Technical Perspectives","Haoning Wu, Erli Zhang, Liang Liao, Chaofeng Chen, Jingwen Hou, Annan Wang, Wenxiu Sun, Qiong Yan, Weisi Lin","Haoning Wu","http://arxiv.org/abs/2211.04894",341,"2022-11-09"
"Video Quality","2309.15103","LAVIE: High-Quality Video Generation with Cascaded Latent Diffusion Models","Yaohui Wang, Xinyuan Chen, Xin Ma, Shangchen Zhou, Ziqi Huang, Yi Wang, Ceyuan Yang, Yinan He, Jiashuo Yu, Peiqing Yang, Yuwei Guo, Tianxing Wu, Chenyang Si, Yuming Jiang, Cunjian Chen, Chen Change Loy, Bo Dai, Dahua Lin, Yu Qiao, Ziwei Liu","Yaohui Wang","http://arxiv.org/abs/2309.15103",337,"2023-09-26"
"Video Quality","2410.02713","LLaVA-Video: Video Instruction Tuning With Synthetic Data","Yuanhan Zhang, Jinming Wu, Wei Li, Bo Li, Zejun Ma, Ziwei Liu, Chunyuan Li","Yuanhan Zhang","http://arxiv.org/abs/2410.02713",330,"2024-10-03"
"Video Quality","2005.14354","UGC-VQA: Benchmarking Blind Video Quality Assessment for User Generated Content","Zhengzhong Tu, Yilin Wang, Neil Birkbeck, Balu Adsumilli, Alan C. Bovik","Zhengzhong Tu","http://arxiv.org/abs/2005.14354",325,"2020-05-29"
"Video Quality","2207.02595","FAST-VQA: Efficient End-to-end Video Quality Assessment with Fragment Sampling","Haoning Wu, Chaofeng Chen, Jingwen Hou, Liang Liao, Annan Wang, Wenxiu Sun, Qiong Yan, Weisi Lin","Haoning Wu","http://arxiv.org/abs/2207.02595",285,"2022-07-06"
"Video Quality","2204.14047","A Deep Learning based No-reference Quality Assessment Model for UGC Videos","Wei Sun, Xiongkuo Min, Wei Lu, Guangtao Zhai","Wei Sun","http://arxiv.org/abs/2204.14047",252,"2022-04-29"
"Video Quality","2112.01554","Neural Head Avatars from Monocular RGB Videos","Philip-William Grassal, Malte Prinzler, Titus Leistner, Carsten Rother, Matthias Nießner, Justus Thies","Philip-William Grassal","http://arxiv.org/abs/2112.01554",251,"2021-12-02"
"Video Quality","2003.01966","Learning for Video Compression with Hierarchical Quality and Recurrent Enhancement","Ren Yang, Fabian Mentzer, Luc Van Gool, Radu Timofte","Ren Yang","http://arxiv.org/abs/2003.01966",235,"2020-03-04"
"Video Quality","2011.13544","Patch-VQ: 'Patching Up' the Video Quality Problem","Zhenqiang Ying, Maniratnam Mandal, Deepti Ghadiyaram, Alan Bovik","Zhenqiang Ying","http://arxiv.org/abs/2011.13544",232,"2020-11-27"
"Video Quality","2209.06243","CometKiwi: IST-Unbabel 2022 Submission for the Quality Estimation Shared Task","Ricardo Rei, Marcos Treviso, Nuno M. Guerreiro, Chrysoula Zerva, Ana C. Farinha, Christine Maroti, José G. C. de Souza, Taisiya Glushkova, Duarte M. Alves, Alon Lavie, Luisa Coheur, André F. T. Martins","Ricardo Rei","http://arxiv.org/abs/2209.06243",221,"2022-09-13"
"Video Quality","2407.02371","OpenVid-1M: A Large-Scale High-Quality Dataset for Text-to-video Generation","Kepan Nan, Rui Xie, Penghao Zhou, Tiehan Fan, Zhenheng Yang, Zhijie Chen, Xiang Li, Jian Yang, Ying Tai","Kepan Nan","http://arxiv.org/abs/2407.02371",219,"2024-07-02"
"Video Quality","2101.10955","RAPIQUE: Rapid and Accurate Video Quality Prediction of User Generated Content","Zhengzhong Tu, Xiangxu Yu, Yilin Wang, Neil Birkbeck, Balu Adsumilli, Alan C. Bovik","Zhengzhong Tu","http://arxiv.org/abs/2101.10955",207,"2021-01-26"
"Video Quality","2012.02512","ID-Reveal: Identity-aware DeepFake Video Detection","Davide Cozzolino, Andreas Rössler, Justus Thies, Matthias Nießner, Luisa Verdoliva","Davide Cozzolino","http://arxiv.org/abs/2012.02512",207,"2020-12-04"
"Video Quality","2108.08505","Blindly Assess Quality of In-the-Wild Videos via Quality-aware Pre-training and Motion Perception","Bowen Li, Weixia Zhang, Meng Tian, Guangtao Zhai, Xianpei Wang","Bowen Li","http://arxiv.org/abs/2108.08505",169,"2021-08-19"
"Video Quality","2406.19680","MimicMotion: High-Quality Human Motion Video Generation with Confidence-aware Pose Guidance","Yuang Zhang, Jiaxi Gu, Li-Wen Wang, Han Wang, Junqi Cheng, Yuefeng Zhu, Fangyuan Zou","Yuang Zhang","http://arxiv.org/abs/2406.19680",169,"2024-06-28"
"Video Quality","2403.14773","StreamingT2V: Consistent, Dynamic, and Extendable Long Video Generation from Text","Roberto Henschel, Levon Khachatryan, Hayk Poghosyan, Daniil Hayrapetyan, Vahram Tadevosyan, Zhangyang Wang, Shant Navasardyan, Humphrey Shi","Roberto Henschel","http://arxiv.org/abs/2403.14773",169,"2024-03-21"
"Video Quality","2012.05258","ViP-DeepLab: Learning Visual Perception with Depth-aware Video Panoptic Segmentation","Siyuan Qiao, Yukun Zhu, Hartwig Adam, Alan Yuille, Liang-Chieh Chen","Siyuan Qiao","http://arxiv.org/abs/2012.05258",167,"2020-12-09"
"Video Quality","2205.03409","VFHQ: A High-Quality Dataset and Benchmark for Video Face Super-Resolution","Liangbin Xie. Xintao Wang, Honglun Zhang, Chao Dong, Ying Shan","Liangbin Xie. Xintao Wang","http://arxiv.org/abs/2205.03409",164,"2022-05-06"
"Video Quality","2211.14758","VideoReTalking: Audio-based Lip Synchronization for Talking Head Video Editing In the Wild","Kun Cheng, Xiaodong Cun, Yong Zhang, Menghan Xia, Fei Yin, Mingrui Zhu, Xuan Wang, Jue Wang, Nannan Wang","Kun Cheng","http://arxiv.org/abs/2211.14758",151,"2022-11-27"
"Video Quality","2011.04263","Unified Quality Assessment of In-the-Wild Videos with Mixed Datasets Training","Dingquan Li, Tingting Jiang, Ming Jiang","Dingquan Li","http://arxiv.org/abs/2011.04263",150,"2020-11-09"
"Video Quality","2011.02250","Video Generative Adversarial Networks: A Review","Nuha Aldausari, Arcot Sowmya, Nadine Marcus, Gelareh Mohammadi","Nuha Aldausari","http://arxiv.org/abs/2011.02250",149,"2020-11-04"
"Video Quality","2006.10704","Latent Video Transformer","Ruslan Rakhimov, Denis Volkhonskiy, Alexey Artemov, Denis Zorin, Evgeny Burnaev","Ruslan Rakhimov","http://arxiv.org/abs/2006.10704",133,"2020-06-18"
"Video Quality","2306.00943","Make-Your-Video: Customized Video Generation Using Textual and Structural Guidance","Jinbo Xing, Menghan Xia, Yuxin Liu, Yuechen Zhang, Yong Zhang, Yingqing He, Hanyuan Liu, Haoxin Chen, Xiaodong Cun, Xintao Wang, Ying Shan, Tien-Tsin Wong","Jinbo Xing","http://arxiv.org/abs/2306.00943",131,"2023-06-01"
"Video Quality","2010.11838","Blind Video Temporal Consistency via Deep Video Prior","Chenyang Lei, Yazhou Xing, Qifeng Chen","Chenyang Lei","http://arxiv.org/abs/2010.11838",124,"2020-10-22"
"Video Quality","2312.06640","Upscale-A-Video: Temporal-Consistent Diffusion Model for Real-World Video Super-Resolution","Shangchen Zhou, Peiqing Yang, Jianyi Wang, Yihang Luo, Chen Change Loy","Shangchen Zhou","http://arxiv.org/abs/2312.06640",122,"2023-12-11"
"Video Quality","2106.04185","LipSync3D: Data-Efficient Learning of Personalized 3D Talking Faces from Video using Pose and Lighting Normalization","Avisek Lahiri, Vivek Kwatra, Christian Frueh, John Lewis, Chris Bregler","Avisek Lahiri","http://arxiv.org/abs/2106.04185",113,"2021-06-08"
"Video Quality","2303.09508","LDMVFI: Video Frame Interpolation with Latent Diffusion Models","Duolikun Danier, Fan Zhang, David Bull","Duolikun Danier","http://arxiv.org/abs/2303.09508",103,"2023-03-16"
"Video Quality","2012.13936","Learning Generalized Spatial-Temporal Deep Feature Representation for No-Reference Video Quality Assessment","Baoliang Chen, Lingyu Zhu, Guo Li, Hongfei Fan, Shiqi Wang","Baoliang Chen","http://arxiv.org/abs/2012.13936",102,"2020-12-27"
"Video Quality","2311.16103","Video-Bench: A Comprehensive Benchmark and Toolkit for Evaluating Video-based Large Language Models","Munan Ning, Bin Zhu, Yujia Xie, Bin Lin, Jiaxi Cui, Lu Yuan, Dongdong Chen, Li Yuan","Munan Ning","http://arxiv.org/abs/2311.16103",96,"2023-11-27"
"Video Quality","2206.10810","A Simple Baseline for Video Restoration with Grouped Spatial-temporal Shift","Dasong Li, Xiaoyu Shi, Yi Zhang, Ka Chun Cheung, Simon See, Xiaogang Wang, Hongwei Qin, Hongsheng Li","Dasong Li","http://arxiv.org/abs/2206.10810",94,"2022-06-22"
"Video Quality","2412.15322","MMAudio: Taming Multimodal Joint Training for High-Quality Video-to-Audio Synthesis","Ho Kei Cheng, Masato Ishii, Akio Hayakawa, Takashi Shibuya, Alexander Schwing, Yuki Mitsufuji","Ho Kei Cheng","http://arxiv.org/abs/2412.15322",84,"2024-12-19"
"Video Quality","2008.04687","SENSEI: Aligning Video Streaming Quality with Dynamic User Sensitivity","Xu Zhang, Yiyang Ou, Siddhartha Sen, Junchen Jiang","Xu Zhang","http://arxiv.org/abs/2008.04687",74,"2020-08-11"
"Video Quality","2210.05357","Neighbourhood Representative Sampling for Efficient End-to-end Video Quality Assessment","Haoning Wu, Chaofeng Chen, Liang Liao, Jingwen Hou, Wenxiu Sun, Qiong Yan, Jinwei Gu, Weisi Lin","Haoning Wu","http://arxiv.org/abs/2210.05357",74,"2022-10-11"
"Video Quality","2006.14348","Audeo: Audio Generation for a Silent Performance Video","Kun Su, Xiulong Liu, Eli Shlizerman","Kun Su","http://arxiv.org/abs/2006.14348",73,"2020-06-23"
"Video Quality","2212.07592","Solve the Puzzle of Instance Segmentation in Videos: A Weakly Supervised Framework with Spatio-Temporal Collaboration","Liqi Yan, Qifan Wang, Siqi Ma, Jingang Wang, Changbin Yu","Liqi Yan","http://arxiv.org/abs/2212.07592",72,"2022-12-15"
"Video Quality","2206.09853","DisCoVQA: Temporal Distortion-Content Transformers for Video Quality Assessment","Haoning Wu, Chaofeng Chen, Liang Liao, Jingwen Hou, Wenxiu Sun, Qiong Yan, Weisi Lin","Haoning Wu","http://arxiv.org/abs/2206.09853",72,"2022-06-20"
"Video Quality","2406.07548","Image and Video Tokenization with Binary Spherical Quantization","Yue Zhao, Yuanjun Xiong, Philipp Krähenbühl","Yue Zhao","http://arxiv.org/abs/2406.07548",72,"2024-06-11"
"Video Quality","2206.05054","A No-reference Quality Assessment Metric for Point Cloud Based on Captured Video Sequences","Yu Fan, Zicheng Zhang, Wei Sun, Xiongkuo Min, Wei Lu, Tao Wang, Ning Liu, Guangtao Zhai","Yu Fan","http://arxiv.org/abs/2206.05054",69,"2022-06-09"
"Video Quality","2106.01111","Deep Learning based Full-reference and No-reference Quality Assessment Models for Compressed UGC Videos","Wei Sun, Tao Wang, Xiongkuo Min, Fuwang Yi, Guangtao Zhai","Wei Sun","http://arxiv.org/abs/2106.01111",69,"2021-06-02"
"Video Quality","2405.18750","T2V-Turbo: Breaking the Quality Bottleneck of Video Consistency Model with Mixed Reward Feedback","Jiachen Li, Weixi Feng, Tsu-Jui Fu, Xinyi Wang, Sugato Basu, Wenhu Chen, William Yang Wang","Jiachen Li","http://arxiv.org/abs/2405.18750",69,"2024-05-29"
"Video Quality","2204.04210","Dancing under the stars: video denoising in starlight","Kristina Monakhova, Stephan R. Richter, Laura Waller, Vladlen Koltun","Kristina Monakhova","http://arxiv.org/abs/2204.04210",68,"2022-04-08"
"Video Quality","2102.08192","A Survey on 360-Degree Video: Coding, Quality of Experience and Streaming","Federico Chiariotti","Federico Chiariotti","http://arxiv.org/abs/2102.08192",67,"2021-02-16"
"Video Quality","2207.07922","Learning Quality-aware Dynamic Memory for Video Object Segmentation","Yong Liu, Ran Yu, Fei Yin, Xinyuan Zhao, Wei Zhao, Weihao Xia, Yujiu Yang","Yong Liu","http://arxiv.org/abs/2207.07922",67,"2022-07-16"
"Video Quality","2410.19355","FasterCache: Training-Free Video Diffusion Model Acceleration with High Quality","Zhengyao Lv, Chenyang Si, Junhao Song, Zhenyu Yang, Yu Qiao, Ziwei Liu, Kwan-Yee K. Wong","Zhengyao Lv","http://arxiv.org/abs/2410.19355",66,"2024-10-25"
"Video Quality","2305.12726","Towards Explainable In-the-Wild Video Quality Assessment: A Database and a Language-Prompted Approach","Haoning Wu, Erli Zhang, Liang Liao, Chaofeng Chen, Jingwen Hou, Annan Wang, Wenxiu Sun, Qiong Yan, Weisi Lin","Haoning Wu","http://arxiv.org/abs/2305.12726",64,"2023-05-22"
"Video Quality","2303.14933","MD-VQA: Multi-Dimensional Quality Assessment for UGC Live Videos","Zicheng Zhang, Wei Wu, Wei Sun, Dangyang Tu, Wei Lu, Xiongkuo Min, Ying Chen, Guangtao Zhai","Zicheng Zhang","http://arxiv.org/abs/2303.14933",64,"2023-03-27"
"Video Quality","2007.11634","Subjective and Objective Quality Assessment of High Frame Rate Videos","Pavan C. Madhusudana, Xiangxu Yu, Neil Birkbeck, Yilin Wang, Balu Adsumilli, Alan C. Bovik","Pavan C. Madhusudana","http://arxiv.org/abs/2007.11634",63,"2020-07-22"
"Video Quality","2002.10651","A Comparative Evaluation of Temporal Pooling Methods for Blind Video Quality Assessment","Zhengzhong Tu, Chia-Ju Chen, Li-Heng Chen, Neil Birkbeck, Balu Adsumilli, Alan C. Bovik","Zhengzhong Tu","http://arxiv.org/abs/2002.10651",62,"2020-02-25"
"Video Quality","2009.01632","Optimal Wireless Streaming of Multi-Quality 360 VR Video by Exploiting Natural, Relative Smoothness-enabled and Transcoding-enabled Multicast Opportunities","Kaixuan Long, Ying Cui, Chencheng Ye, Zhi Liu","Kaixuan Long","http://arxiv.org/abs/2009.01632",62,"2020-09-02"
"Video Quality","2105.14678","Image-to-Video Generation via 3D Facial Dynamics","Xiaoguang Tu, Yingtian Zou, Jian Zhao, Wenjie Ai, Jian Dong, Yuan Yao, Zhikang Wang, Guodong Guo, Zhifeng Li, Wei Liu, Jiashi Feng","Xiaoguang Tu","http://arxiv.org/abs/2105.14678",58,"2021-05-31"
"Video Quality","2008.04524","Vid2Player: Controllable Video Sprites that Behave and Appear like Professional Tennis Players","Haotian Zhang, Cristobal Sciutto, Maneesh Agrawala, Kayvon Fatahalian","Haotian Zhang","http://arxiv.org/abs/2008.04524",58,"2020-08-11"
"Video Quality","2208.14085","Evaluating Point Cloud from Moving Camera Videos: A No-Reference Metric","Zicheng Zhang, Wei Sun, Yucheng Zhu, Xiongkuo Min, Wei Wu, Ying Chen, Guangtao Zhai","Zicheng Zhang","http://arxiv.org/abs/2208.14085",56,"2022-08-30"
"Video Quality","2010.13715","ST-GREED: Space-Time Generalized Entropic Differences for Frame Rate Dependent Video Quality Prediction","Pavan C. Madhusudana, Neil Birkbeck, Yilin Wang, Balu Adsumilli, Alan C. Bovik","Pavan C. Madhusudana","http://arxiv.org/abs/2010.13715",55,"2020-10-26"
"Video Quality","2404.05029","LOGO: A Long-Form Video Dataset for Group Action Quality Assessment","Shiyi Zhang, Wenxun Dai, Sujia Wang, Xiangwei Shen, Jiwen Lu, Jie Zhou, Yansong Tang","Shiyi Zhang","http://arxiv.org/abs/2404.05029",55,"2024-04-07"
"Video Quality","2510.02283","Self-Forcing++: Towards Minute-Scale High-Quality Video Generation","Justin Cui, Jie Wu, Ming Li, Tao Yang, Xiaojie Li, Rui Wang, Andrew Bai, Yuanhao Ban, Cho-Jui Hsieh","Justin Cui","http://arxiv.org/abs/2510.02283",54,"2025-10-02"
"Video Quality","2008.00499","Multi-level Wavelet-based Generative Adversarial Network for Perceptual Quality Enhancement of Compressed Video","Jianyi Wang, Xin Deng, Mai Xu, Congyong Chen, Yuhang Song","Jianyi Wang","http://arxiv.org/abs/2008.00499",53,"2020-08-02"
